Province,Rain,Drought,Test
Kwilu,9,0,1
Kyonggi-do,12,0,1
Kyongsangbuk-do,14,0,1
Kyongsangnam-do,17,0,1
Kyooto,18,0,1
Kyyivs'ka,16,4,1
Kyzylordinskaya,13,0,1
La Habana,14,0,1
La Libertad,2,3,1
La Pampa,7,4,1
La Paz,32,5,2
La Rioja,14,4,2
Laâyoune,0,0,1
Labe,6,0,1
Lac,5,1,1
Lacs,7,6,1
Laghman,28,1,1
Laghouat,10,4,1
Lago niassa,0,0,1
Lagos,0,0,1
Lagunes,8,4,1
Lahj,8,0,1
Lai Chau,15,0,1
Laikipia,18,14,1
Lake Albert,13,1,1
Lake Victoria,15,0,1
Lam Dong,18,0,1
Lambayeque,0,0,1
Lampang,7,0,1
Lamphun,9,0,1
Lampung,15,0,1
Lamu,10,7,1
Lang Son,18,0,1
Languedoc R.,12,0,1
Lankaran,9,4,1
Lao Cai,13,0,1
Lapland,0,0,1
Lara,15,4,1
Las Tunas,9,4,1
Lattakia,12,0,1
Latvia,3,3,1
Lavalleja,15,0,1
Lazio,9,0,1
Le Kef,5,8,1
Lebanon,6,0,1
Lebap,10,0,1
Lekoumou,0,0,1
Lempira,10,0,1
Leningradskaya ,11,0,1
Leon,4,1,1
Lesotho,9,6,1
Liaoning Sheng,11,3,1
Liben,0,0,1
Liguria,7,0,1
Likouala,0,0,1
Lima,0,0,1
Limon,26,0,1
Limousin,13,0,1
Limpopo,6,34,1
Lindi,4,2,1
Lipetskaya ,6,9,1
Litoral,0,0,1
Littoral,6,5,1
Lobaye,0,0,1
Lodzkie,23,1,1
Loei,3,1,1
Lofa,12,0,1
Logar,16,8,1
Logone Occid.,6,0,1
Logone Oriental,6,1,1
Loja,2,0,1
Lomami,12,0,1
Lombardia,11,1,1
Long An,6,0,1
Lopburi,6,0,1
Lorestan,4,3,1
Loreto,0,0,1
Lorraine,24,0,1
Los Lagos,10,0,1
Los Rios,18,0,2
Los Santos,1,2,1
Louang-Namtha,16,0,1
Louangphabang,23,0,1
Louga,3,9,1
Louisiana,18,0,1
Lualaba,4,0,1
Luanda,6,9,1
Luapula,5,0,1
Lubeiskie,19,3,1
Lubuskie,9,1,1
Luhans'ka,9,8,1
Lunda Norte,0,0,1
Lunda Sul,0,0,1
Lusaka,7,2,1
Luxembourg,4,0,1
Luxor,0,0,1
L'vivs'ka,16,2,1
Ma'an,0,0,1
Machakos,7,7,1
Madaba,4,5,1
Madang,2,0,1
Madhya Pradesh,21,4,1
Madinah,0,0,1
Madre de Dios,0,0,1
Madrid,6,6,1
Madriz,5,0,1
Mae Hong Son,11,0,1
Maekel,10,4,1
Mafraq,5,3,1
Magadanskaya ,0,0,1
Magallanes,0,0,1
Magdalena,11,0,1
Magway,1,2,1
Maha Sarakham,10,2,1
Mahaica Berbice,11,5,1
Maharashtra,11,3,1
Mahdia,17,7,1
Mai-Ndombe,0,0,1
Maine,13,0,1
Majang,8,0,1
Makkah,0,0,1
Makueni,7,6,1
Malanje,5,0,1
Malatya,21,0,1
Maldonado,14,0,1
Malindi,17,10,1
Malopolske,13,3,1
Malta,0,0,1
Maluku,19,0,1
Maluku Utara,21,0,1
Mambéré-Kadéï,10,0,1
Mamou,5,0,1
Manabi,10,4,1
Managua,12,6,1
Mandalay,4,3,1
Mandera,0,0,1
Mandoul,4,0,1
Mangistauskaya,0,0,1
Manica,8,3,1
Manicaland,7,7,1
Maniema,15,0,1
Manipur,10,2,1
Manisa,15,1,1
Manitoba,19,4,1
Manouba,5,6,1
Manus,0,0,1
Manyara,5,15,1
Maputo,11,16,1
Mara,21,6,1
Maradi,4,5,1
Maramures,18,12,1
Maranhao,6,0,1
Marche,9,2,1
Mardin,6,2,1
Margibi,14,4,1
Marib,10,1,1
Marijampoles,11,8,1
Maritime,11,0,1
Mariy-el Rep.,3,8,1
Markazi,4,6,1
Marowijne,0,0,1
Marrakech,10,6,1
Marsabit,0,0,1
Martinique,0,0,1
Mary,6,8,1
Maryland,19,3,2
Masaya,3,4,1
Mascara,9,7,1
Mashonaland C.,6,1,1
Mashonaland East,9,2,1
Mashonaland West,5,3,1
Massachusetts,13,0,1
Masvingo,6,9,1
Matabeleland N.,8,10,1
Matabeleland S.,4,22,1
Matagalpa,2,0,1
Matam,4,8,1
Ma'tan al-Sarra,0,0,1
Matanzas,8,0,1
Mato Grosso,11,0,1
Mato Grosso S,15,5,1
Matrouh,0,0,1
Maule,3,0,1
Mauritius,0,0,1
Mayo-Kebbi Est,4,1,1
Mayo-Kebbi Ouest,4,2,1
Mayotte,0,0,1
Mazandaran,16,0,1
Mazowieckie,15,7,1
Mbeya,10,1,1
Mbomou,0,0,1
Mecklenburg V.,18,9,1
Medea,13,9,1
Medenine,9,4,1
Meghalaya,13,0,1
Mehedinti,20,11,1
Meknès,14,4,1
Melaka,6,0,1
Melaky,0,0,1
Menabe,4,3,1
Mendoza,7,1,1
Menia,0,0,1
Menoufia,0,0,1
Merida,14,0,1
Meru,15,10,1
Meta,11,0,1
Metekel,6,0,1
Metropolitana,10,0,1
Mexico,14,7,1
Michigan,14,0,1
Michoacan,15,0,1
Micronesia,0,0,1
Mid Northen,5,1,1
Mid West,33,0,1
Midi-Pyrenees,24,1,1
Midlands,7,13,1
Mie,15,0,1
Migori,12,0,1
Mila,5,8,1
Milne Bay,6,0,1
Minas Gerais,15,0,1
Minnesota,23,1,1
Minsk,9,9,1
Miranda,0,0,1
Misiones,22,4,2
Missan,9,6,1
Mississippi,15,2,1
Missouri,15,0,1
Misurata,11,18,1
Miyagi,26,0,1
Miyazaki,14,0,1
Mizoram,5,0,1
Mjini Magharibi,0,0,1
Moere Og Romsdal,4,4,1
Mogilev,5,2,1
Moldova,21,14,1
Molise,17,0,1
Mombasa,0,0,1
Mon,9,2,1
Monagas,10,0,1
Monastir,20,9,1
Mondul Kiri,9,0,1
Mongala,5,0,1
Mono,0,0,1
Montagnes,11,0,1
Montana,23,2,1
Montenegro,6,0,1
Montevideo,14,0,1
Montserrado,12,4,1
Mopti,5,1,1
Moquegua,7,4,1
Mordoviya Rep.,4,10,1
Morelos,11,0,1
Morobe,13,0,1
Morogoro,3,8,1
Morona Santiago,0,0,1
Moskovskaya ,7,3,1
Moskva,0,0,1
Mostaganem,9,9,1
Motagua Valley,15,1,1
Moxico,0,0,1
Moyen-Chari,3,0,1
Moyen-Ogooue,0,0,1
Mpumalanga,16,13,1
M'Sila,9,6,1
Mtskheta,20,7,1
Mtwara,3,3,1
Mudug,0,0,1
Mugla,18,0,1
Mukdahan,11,2,1
Muranga,13,0,1
Mures,16,11,1
Murmanskaya ,0,0,1
Murzuq,0,0,1
Mus,8,3,1
Musandam,0,0,1
Muscat,0,0,1
Muslim Mindanao,16,0,1
Muthanna,5,4,1
Mwanza,8,1,1
Mykolayivs'ka,31,0,1
N. De Santander,17,0,1
N.W. Frontier,20,1,1
Naama,0,0,1
Nabeul,10,4,1
Nagaland,6,0,1
Nagano,19,0,1
Nagasaki,14,0,1
Nairobi,14,9,1
Najaf,5,4,1
Najran,0,0,1
Nakhchivan,39,8,1
Nakhon Nayok,21,4,1
Nakhon Pathom,19,0,1
Nakhon Phanom,9,6,1
Nakhon R.,7,1,1
Nakhon S.T.,7,0,1
Nakhon Sawan,12,0,1
Nakuru,12,6,1
Nam Dinh,17,3,1
Namangan,7,2,1
Name Unknown,17,7,1
Namibe,9,6,1
Nampula,12,0,1
Nan,10,0,1
Nana-Gribizi,0,0,1
Nana-Mambéré,0,0,1
Nandi,9,0,1
Nangarhar,18,2,1
Nangroe A.D.,11,0,1
Napo,10,0,1
Nara,12,0,1
Narathiwat,10,0,1
Narino,15,0,1
Narok,9,5,1
Naryn,25,11,1
Nassarawa,9,0,1
Navarra,12,7,1
Navoiy,6,6,1
Nayarit,24,0,1
N'Djamena,0,0,1
Neamt,12,6,1
Nebraska,10,1,1
Neembucu,0,0,1
Negeri Sembilan,5,0,1
Nei Mongol Z.,13,4,1
Nelson,19,0,1
Nenetskiy Okrug,0,0,1
Netherlands,4,0,1
Netherlands A.,0,0,1
Neuquen,0,0,1
Nevada,14,3,1
Nevsehir,15,9,1
New Brunswick,0,0,1
New Hampshire,18,0,1
New Ireland,0,0,1
New Jersey,12,0,1
New Mexico,17,6,1
New South Wales,6,10,1
New Valley,0,0,1
New York,12,0,1
Newfoundland,0,0,1
Ngöbe Buglé,0,0,1
Ngamiland,0,0,1
Nghe An,11,2,1
Ngounie,0,0,1
Niamey,0,0,1
Niari,0,0,1
Niassa,8,1,1
Nickerie,0,0,1
Niederosterreich,7,3,1
Niedersachsen,7,0,1
Nigde,13,0,1
Niger,8,3,1
Niigata,16,0,1
Nile,0,0,1
Nimba,13,2,1
Nimroz,0,0,1
Ninewa,9,6,1
Ningxia Huizu Z.,15,7,1
Ninh Binh,14,1,1
Ninh Thuan,19,4,1
Nippes,7,0,1
Nitra,24,6,1
Niue,0,0,1
Nizhegorodskaya ,4,8,1
Njombe,6,0,1
No Name,0,0,1
Nogob,0,0,1
Nong Bua Lamphu,7,1,1
Nong Khai,9,6,1
Nonthaburi,7,0,1
Nord,23,7,3
Nord - Ouest,9,0,1
Nord Est,8,0,1
Nord Ouest,27,2,1
Nord Pas Cala,21,2,1
Nordgronland,0,0,1
Nordland,3,2,1
Nordrhein W.,9,2,1
Nord-troendelag,6,0,1
Norrbottens Laen,0,0,1
North Bahr Ghaza,7,4,1
North Carolina,8,0,1
North Central,27,0,1
North Dakota,21,3,1
North East,11,11,1
North Frontier,0,0,1
North Gonder,7,0,1
North Kivu,17,0,1
North Kordofa,5,6,1
North Macedonia,21,0,1
North Mindanao,16,0,1
North Shewa R3,16,0,1
North Shewa R4,7,1,1
North Sinai,4,3,1
North Solomons,0,0,1
North Territory,0,0,1
North Ubangi,3,0,1
North West,35,15,2
North Western,13,0,1
North Wollo,19,1,1
Northern Cape,8,4,1
Northern Darfur,3,8,1
Northern Ireland,6,0,1
Northern Region,10,0,1
Northland,5,0,1
North-West,7,0,1
Notio Aigaio,12,6,1
Nouakchott,0,0,1
Nova Scotia,0,0,1
Novgorodskaya ,0,0,1
Novosibirskaya ,7,5,1
Nuer,0,0,1
Nueva Esparta,0,0,1
Nueva Segovia,4,0,1
Nuevo Leon,18,10,1
Nugaal,0,0,1
Nunavut,0,0,1
Nuqat Al Khams,8,5,1
Nuristan,0,0,1
Nusatenggara B.,16,0,1
Nusatenggara T.,21,0,1
NW Territories,0,0,1
Nyamira,19,2,1
Nyandarua,12,4,1
Nyanga,6,6,1
Nyeri,19,5,1
Nyugat-Dunántúl,20,4,1
Nzerekore,9,0,1
Oaxaca,21,0,1
Oberosterreich,4,1,1
Ocotepeque,7,0,1
Odes'ka,29,9,1
Oerebro Laen,7,3,1
Oestergoetlands,9,13,1
Oestfold,17,8,1
Ogooue-Ivindo,0,0,1
Ogooue-lolo,0,0,1
Ogooue-Maritime,0,0,1
Ogun,0,0,1
Ohangwena,6,5,1
Ohio,18,2,1
Oio,0,0,1
Okayama,18,0,1
Okinawa,7,0,1
Oklahoma,10,0,1
Olancho,10,0,1
Olt,31,7,1
Omaheke,0,0,1
Ombella M'Poko,0,0,1
O'mnogovi,0,0,1
Omskaya ,9,6,1
Omusati,10,3,1
Ondo,6,0,1
Ontario,10,1,1
Ooita,13,0,1
Oosaka,11,0,1
Opolskie,19,4,1
Oppland,9,1,1
Oran,9,7,1
Ordu,16,8,1
Oregon,19,0,1
Orellana,8,0,1
Orenburgskaya ,8,10,1
Oriental,14,10,1
Orissa,10,3,1
Orlovskaya ,6,7,1
Oromia,14,3,1
Oruro,3,5,1
Orxon,0,0,1
Osh,9,4,1
Oshana,6,6,1
Oshikoto,6,12,1
Oslo,0,0,1
Osmaniye,10,2,1
Ostgronland,0,0,1
Osun,5,2,1
Otago,20,0,1
Otdar Meanchey,6,0,1
Otjozondjupa,0,0,1
Ouaddai,5,6,1
Ouaka,9,0,1
Ouargla,0,0,1
Oudomxai,17,0,1
Oueme,0,0,1
Ouest,23,0,2
Ouham,7,0,1
Ouham Pendé,6,0,1
Oulu,7,2,1
Oum El Bouaghi,4,6,1
O'vorxangai,0,0,1
Oyo,9,4,1
País Vasco,10,1,1
Pahang,6,0,1
Pailin,10,1,1
Paktika,12,10,1
Paktya,30,6,1
Palau,0,0,1
Panamá,6,0,1
Pando,21,0,1
Panevezio,2,14,1
Panjsher,24,1,1
Papua,25,0,1
Papua Barat,0,0,1
Para,8,0,2
Paraguari,9,2,1
Paraiba,13,8,1
Paraiso,7,0,1
Parana,21,0,1
Parwan,19,4,1
Pasco,4,0,1
Pastaza,0,0,1
Pathum Thani,15,0,1
Pattani,8,0,1
Pavlodarskaya,10,19,1
Paysandu,14,4,1
Pays-de-la-Loire,19,0,1
Peloponnisos,14,2,1
Pennsylvania,9,0,1
Penzenskaya ,4,15,1
Perak,19,0,1
Perlis,20,1,1
Permskaya ,5,1,1
Pernambuco,8,3,1
Petén,8,0,1
Phachinburi,17,3,1
Phangnga,22,0,1
Phatthalung,12,0,1
Phayao,14,0,1
Phetchabun,7,0,1
Phetchaburi,12,0,1
Phichit,20,0,1
Phitsanulok,12,2,1
Phnom Penh,8,4,1
Phongsali,31,0,1
Phra Nakhon S.A.,7,0,1
Phrae,12,1,1
Phu Tho,13,0,1
Phu Yen,20,1,1
Phuket,16,0,1
Piaui,8,6,1
Picardie,21,2,1
Pichincha,7,0,1
Piemonte,9,0,1
Pinar Del Rio,15,0,1
Piura,2,0,1
Plateau,22,1,2
Plateau Central,8,3,1
Plateaux,12,0,2
Podkarpackie,19,1,1
Podlaskie,11,9,1
Poitou-Charentes,20,0,1
Poltavs'ka,20,5,1
Pomeroon,8,0,1
Pomorskie,10,0,1
Pool,14,0,1
Port Said,1,16,1
Portugal,15,25,1
Portuguesa,12,1,1
Potaro,0,0,1
Potosi,3,2,1
Prachuap K.,14,1,1
Praha,24,4,1
Prahova,23,18,1
Preah Sihanouk,9,0,1
Preah Vihear,3,3,1
Presidente Hayes,22,6,1
Presov,9,5,1
Prey Veng,12,0,1
Primorskiy Kray,6,0,1
Prince Edward,15,1,1
Provence,10,0,1
Pskovskaya ,6,0,1
Puebla,25,0,1
Puerto Rico,15,0,1
Puglia,16,0,1
Pulau Pinang,21,0,1
Punjab,47,10,2
Puno,13,5,1
Puntarenas,11,0,1
Pursat,14,2,1
Pusan,0,0,1
Putumayo,0,0,1
Pwani,11,0,1
P'yongan-bukto,9,0,1
P'yongan-namdo,7,0,1
P'yongyang-si,7,0,1
Qadissiya,9,2,1
Qatar,0,0,1
Qena,0,0,1
Qinghai Sheng,14,3,1
Québec,19,0,1
Quang Binh,12,4,1
Quang Nam,21,1,1
Quang Ngai,16,0,1
Quang Ninh,15,0,1
Quang Tri,19,2,1
Quassim,12,0,1
Queensland,10,0,1
Queretaro,22,11,1
Quiché,20,0,1
Quinara,0,0,1
Quindio,17,0,1
Quintana Roo,11,0,1
Réunion,0,0,1
Rabat,6,6,1
Racha-Lechkhumi,0,0,1
Rajasthan,13,9,1
Rajshahi,12,3,1
Rakhine,5,0,1
Rangpur,11,0,1
Ranong,20,5,1
Raqqa,7,4,1
Ras Al Khaimah,18,4,1
Ratanak Kiri,3,4,1
Ratchaburi,11,0,1
Raymah,0,0,1
Rayong,11,0,1
Red Sea,0,0,2
Región de Murcia,24,9,1
Region 14,6,12,1
Region wallonne,7,0,1
Relizane,13,8,1
Republika Srpska,3,0,1
Rheinland-Pfalz,12,0,1
Rhode Island,0,0,1
Rhone-Alpes,7,4,1
Riau,8,0,1
Rio De Janeiro,19,1,1
Rio De Oro,0,0,1
Rio Grande N,16,2,1
Rio Grande S,14,5,1
Rio Negro,20,12,2
Rio San Juan,15,0,1
Risaralda,15,0,1
Rivas,6,0,1
River Gee,0,0,1
Rivera,6,3,1
Rivercess,0,0,1
Rivers,17,5,1
Rivnens'ka,9,0,1
Riyad,23,0,1
Rize,8,0,1
Rocha,11,0,1
Rogaland,8,4,1
Roi Et,8,2,1
Rondonia,7,0,1
Roraima,23,0,1
Rostovskaya ,20,1,1
Rukwa,8,0,1
Ruvuma,3,0,1
Rwanda East,14,1,1
Rwanda West,13,0,1
Ryazanskaya ,5,11,1
Sa Kaeo,8,2,1
Sa'ada,0,1,1
Saarland,5,0,1
Sabah,6,0,1
Sabaragamuwa,7,0,1
Sabha,0,8,1
Sachsen,19,6,1
Sachsen-Anhalt,21,6,1
Saga,14,0,1
Sagaing,2,1,1
Saguia El Hamra,0,0,1
Sahel,4,4,1
Saida,8,8,1
Saint Laurent M.,0,0,1
Saint louis,1,4,1
Saint Lucia,0,0,1
Saint Pierre,0,0,1
Saint Vincent,0,0,1
Saitama,18,0,1
Sakarya,18,4,1
Sakha Rep.,0,0,1
Sakhalinskaya ,0,0,1
Sakon Nakhon,9,0,1
Salah al-Din,16,4,1
Salaj,15,9,1
Salamat,11,3,1
Salavan,22,4,1
Salta,6,5,1
Salto,13,0,1
Salzburg,6,0,1
Samangan,7,2,1
Samarkand,13,5,1
Samarskaya ,8,20,1
Samburu,0,0,1
Samergelo,13,0,1
Samoa,0,0,1
Samsun,22,4,1
Samtskhe J.,18,12,1
Samut Prakarn,22,0,1
Samut Sakhon,19,0,1
Samut Songkham,19,0,1
San Jose,22,3,2
San Juan,0,0,1
San Luis,11,4,1
San Luis Potosi,12,14,1
San Martín,20,0,1
San Pedro,21,0,1
Sana'a,2,8,1
Sanaag,0,0,1
Sancti Spiritus,13,0,1
Sangha,0,0,1
Sangha-Mbaéré,0,0,1
Sankt-peterburg,0,0,1
Sankuru,0,0,1
Sanliurfa,11,12,1
Santa Barbara,12,0,1
Santa Catarina,22,0,1
Santa Cruz,11,0,2
Santa Elena,12,10,1
Santa Fe,16,0,1
Santander,12,0,1
Santiago De Cuba,8,0,1
Santiago Estero,13,8,1
Sao Paulo,17,0,1
Sao Tome and P.,0,0,1
Saraburi,8,0,1
Saramacca,0,0,1
Saratovskaya ,9,20,1
Sarawak,17,0,1
Sardegna,19,1,1
Sar-e-Pul,8,4,1
Saskatchewan,17,2,1
Sassandra,11,2,1
Satu Mare,25,4,1
Satun,21,1,1
Sava,21,0,1
Savanes,17,1,2
Savannakhet,13,3,1
Sawfajjin,0,0,1
Schleswig,14,2,1
Scotland,14,2,1
Sedhiou,0,1,1
Segen Peoples,18,9,1
Segou,8,2,1
Selangor,4,0,1
Selenge,6,11,1
Selti,9,3,1
Semenawi K.B.,3,0,1
Semnan,10,0,1
Sennar,4,9,1
Seoul,0,0,1
Serbia,12,5,1
Sergipe,7,11,1
Setif,5,10,1
Severnaya,17,2,1
Severo,15,12,1
Severocesky,10,2,1
Severomoravsky,17,12,1
Sfax,22,0,1
Shaanxi Sheng,21,8,1
Shabelle,0,0,1
Shabelle Dhexe,5,7,1
Shabelle Hoose,12,5,1
Shabwah,0,0,1
Shaki-Zaqatala,27,2,1
Shan (E),19,0,1
Shan (N),6,0,1
Shan (S),4,0,1
Shandong Sheng,12,0,1
Shanghai Shi,16,0,1
Shanxi Sheng,17,8,1
Sharjah,16,3,1
Sheka,5,0,1
Shida Kartli,22,6,1
Shinyanga,8,6,1
Shrkia,0,0,1
Si Saket,9,2,1
Siauliu,4,13,1
Siaya,12,3,1
Sibiu,15,6,1
Sichuan Sheng,14,2,1
Sicilia,7,0,1
Sidama,11,7,1
Sidi Bel Abbes,12,5,1
Sidi Bouz,8,3,1
Siem Reap,8,0,1
Siga,15,0,1
Siirt,5,4,1
Sikasso,11,0,1
Sikkim,23,2,1
Sila,8,4,1
Siliana,7,9,1
Simane,17,0,1
Simiyu,16,5,1
Sinaloa,12,11,1
Sindh,2,0,1
Singapore,0,0,1
Singburi,17,2,1
Singida,7,6,1
Sinoe,0,0,1
Sinop,20,11,1
Sipaliwini,0,0,1
Sirdarya,10,4,1
Sirnak,6,5,1
Sistan B.,0,0,1
Siti,0,0,1
Sivas,26,8,1
Sizuoka,11,0,1
Skaane Laen,12,7,1
Skikda,5,9,1
Slaskie,21,6,1
Slovenia,8,0,1
Smolenskaya ,5,2,1
Soc Trang,3,0,1
Soccsksargen,15,0,1
Soedermanlands,9,13,1
Soer-Troendelag,6,0,1
Sofala,6,4,1
Sofia,11,0,1
Sogd,11,6,1
Sogn og Fjordane,5,2,1
Sokoto,4,2,1
Son La,20,0,1
Songkhla,10,0,1
Sonora,19,4,1
Sool,0,0,1
Soriano,13,8,1
Souk-Ahras,5,10,1
Souss,12,2,1
Sousse,14,5,1
South Australia,5,13,1
South Carolina,6,0,1
South Dakota,21,3,1
South Drylands,13,0,1
South Eastern,19,2,1
South Georgia,0,0,1
South Gonder,9,3,1
South Highlands,14,0,2
South Kivu,11,0,1
South Kordofa,13,5,1
South Omo,19,1,1
South Sinai,0,0,1
South Tagalog,24,0,1
South Ubangi,5,0,1
South West Shewa,9,0,1
South Wollo,19,0,1
South-East,9,26,1
Southern,33,25,5
Southern Area,5,0,1
Southern Darfur,8,6,1
Southern Finland,12,3,1
Southern Region,11,4,1
Southland,26,0,1
Special Woreda,0,0,1
Stavropolskiy,23,2,1
Steiermark,5,0,1
Sterea Ellada,10,4,1
Stockholms Laen,9,15,1
Stredocesky,22,4,1
Stung Treng,1,0,1
Suceava,10,3,1
Sucre,10,0,2
Sucumbios,2,0,1
Sud,13,1,2
Sud - Ouest,11,7,1
Sud Est,21,0,1
Sud-ouest,8,0,1
Suez,4,8,1
Suhag,0,0,1
Sukhothai,6,3,1
Sulawesi Barat,14,0,1
Sulawesi Selatan,14,0,1
Sulawesi T.,19,0,1
Sulawesi Tengah,17,0,1
Sulawesi Utara,16,0,1
Sulaymaniyah,6,4,1
Sumatera Barat,7,0,1
Sumatera Selatan,12,0,1
Sumatera Utara,12,0,1
Sums'ka,8,7,1
Suphanburi,14,2,1
Surat Thani,17,0,1
Surin,9,2,1
Surkhandarya,6,3,1
Surt (sirte),0,0,1
Su'xbaatar,0,0,1
Svay Rieng,17,4,1
Sverdlovskaya ,5,5,1
Swietokrzyskie,14,6,1
Switzerland,10,0,1
Sylhet,17,4,1
Tabasco,11,0,1
Tabora,9,6,1
Tabuk,2,0,1
Tachira,15,0,1
Tacna,0,0,1
Tacuarembo,6,3,1
Tadla - Azilal,7,4,1
Tadzhikistan T.,6,3,1
Taegu,12,0,1
Taejon,9,0,1
Tafiela,5,8,1
Tagant,0,0,1
Tahoua,3,6,1
Taita Taveta,12,6,1
Taiwan Sheng,22,0,1
Taizz,0,6,1
Tak,3,0,1
Takeo,9,2,1
Takhar,9,1,1
Talas,16,4,1
Tamanrasset,0,0,1
Tamaulipas,13,9,1
Tambacounda,6,7,1
Tambovskaya ,5,6,1
Tamil Nadu,7,2,1
Tana River,0,0,1
Tandjile,4,0,1
Tanga,10,9,1
Tanganyika,9,0,1
Tanger - Tétouan,8,8,1
Taninthayi,39,0,1
Taraba,8,0,1
Taranaki,11,0,1
Tarapaca,0,0,1
Tarhunah,6,9,1
Tarija,14,3,1
Tartous,11,6,1
Tashauz,3,2,1
Tashkent,7,4,1
Tashkent city,0,0,1
Tasmania,11,0,1
Tataouine,0,0,1
Tatarstan Rep.,3,11,1
Taurages,2,12,1
Tay Ninh,10,0,1
Taymyrskiy Okrug,0,0,1
Taza,11,6,1
Tbilisi,0,0,1
Tebessa,4,3,1
Tehran,23,0,1
Tekirdag,20,12,1
Telemark,8,10,1
Teleorman,33,7,1
Telsiu,3,12,1
Tennessee,8,0,1
Terengganu,6,0,1
Ternopil's'ka,18,6,1
Tete,9,3,1
Texas,15,0,1
Thai Binh,17,2,1
Thai Nguyen,17,0,1
Thanh Hoa,13,0,1
Tharaka,5,9,1
Thessalia,17,2,1
Thies,0,9,1
Thi-Qar,8,4,1
Thua Thien - Hue,16,0,1
Thueringen,18,6,1
Tianjin Shi,15,0,1
Tiaret,11,7,1
Tiba,17,0,1
Tibesti,0,0,1
Tien Giang,6,0,1
Tierra Del Fuego,0,0,1
Tillaberi,3,5,1
Timis,25,5,1
Timor-Leste,19,0,1
Tindouf,0,0,1
Tipaza,11,4,1
Tiris-Zemmour,0,0,1
Tirol,5,0,1
Tissemsilt,11,8,1
Tizi Ouzou,12,9,1
Tlaxcala,17,7,1
Tlemcen,11,8,1
Tocantins,6,0,1
Togdheer,0,0,1
Tokat,30,9,1
Tokusima,19,0,1
Tolima,16,0,1
Tombali,0,0,1
Tombouctou,0,0,1
Tomskaya ,3,0,1
Tonga,0,0,1
Tookyoo,12,0,1
Toscana,8,0,1
Totigi,18,0,1
Tottori,12,0,1
To'v,9,14,1
Toyama,17,0,1
Tozeur,0,0,1
Tra Vinh,2,0,1
Trabzon,11,1,1
Trad,23,0,1
Trang,13,0,1
Trans Nzoia,36,0,1
Trarza,0,0,1
Treinta Y Tres,8,4,1
Trencin,11,15,1
Trentino,6,0,1
Trinidad Tobago,0,0,1
Tripoli,11,8,1
Tripura,8,0,1
Trnava,23,6,1
Troms,0,0,1
Trujillo,20,1,1
Tsachilas,4,3,1
Tshopo,4,0,1
Tshuapa,0,0,1
Tubruq (tobruk),2,4,1
Tucuman,9,0,1
Tulcea,29,3,1
Tulskaya ,11,7,1
Tumbes,3,10,1
Tunceli,24,0,1
Tungurahua,9,0,1
Tunis,0,0,1
Turkana,0,0,1
Tuyen Quang,11,0,1
Tverskaya ,12,2,1
Tyumenskaya ,10,1,1
Tyva Rep.,8,6,1
Uasin Gishu,33,4,1
Ubon Ratchathani,8,6,1
Ucayali,14,0,1
Udmurtiya Rep.,3,8,1
Udon Thani,9,1,1
Uige,0,0,1
Ulaanbaatar,0,0,1
Ulyanovskaya ,6,18,1
Umbria,18,0,1
Umm AL Quwain,0,0,1
Unity,6,15,1
Upper Demerara,17,0,1
Upper East,6,1,1
Upper Nile,4,10,1
Upper Takutu,29,5,1
Upper West,7,1,1
Uppsala Laen,9,15,1
Uruzgan,6,0,1
Usak,15,4,1
Ustordynskiy BO,10,4,1
Utah,10,1,1
Utenos,2,8,1
Uthai Thani,3,1,1
Uttar Pradesh,21,4,1
Uttaradit,10,0,1
Uttarakhand,24,0,1
Uva,28,0,1
Uvs,0,0,1
Vaermlands Laen,8,7,1
Vaesterbottens,6,0,1
Vaesternorrlands,8,0,1
Vaestmanlands,6,7,1
Vaestra G.L.,10,6,1
Vakaga,0,0,1
Vakinankaratra,13,0,1
Valle,5,0,1
Valle D'aosta,4,2,1
Valle Del Cauca,11,0,1
Valparaiso,10,8,1
Van,24,8,1
Vanuatu,0,0,1
Vargas,0,0,1
Vaslui,15,12,1
Vatovavy F.,32,0,1
Vaupes,7,0,1
Veneto,11,1,1
Veracruz,26,0,1
Veraguas,8,4,1
Verapaz,12,0,1
Vermont,13,0,1
Vest-Agder,9,9,1
Vestfold,10,17,1
Vestgronland,0,0,1
Vichada,0,0,1
Victoria,6,12,1
Vientiane,12,0,1
Vientiane cap.,9,0,1
Vihiga,13,0,1
Vilcea,19,2,1
Villa Clara,11,0,1
Vilniaus,2,7,1
Vinh Long,10,1,1
Vinh Phuc,23,1,1
Vinnyts'ka,20,5,1
Virgin Islands,0,0,1
Virginia,14,0,1
Vitebsk,6,5,1
Vlaams Gewest,7,0,1
Vladimirskaya ,4,9,1
Volgogradskaya ,10,0,1
Vologodskaya ,11,1,1
Volta,14,1,1
Volyns'ka,10,4,1
Vorarlberg,0,0,1
Voreio Aigaio,17,3,1
Voronezhskaya ,5,10,1
Vostochno,21,10,1
Vrancea,16,19,1
Vychodocesky,18,6,1
Wadi Fira,3,6,1
Wag Himra,9,3,1
Waikato,9,0,1
Wajir,0,0,1
Wakayama,14,0,1
Wales,13,0,1
Wanganui,14,0,1
Wanica,0,0,1
Warab,9,0,1
Wardak,15,14,1
Warminsko M.,7,6,1
Washington,17,0,1
Wassit,13,6,1
Welenzas,0,0,1
